Diameter_cm,Longitude,Latitude,Height_m,Volume_cum,SubPlot,x2,x3,DBHClass,Diameter_in,Height_ft,Volume_cuft,CC
31,4138,4038,19.5,0.544,A4,91,0,3,12.20472441,63.97638,19.21117869,S
36,4141,1472,21.6,1.044,D4,44,0,4,14.17322835,70.866144,36.86851205,D
36,4143,2143,23.8,1.101,C4,92,0,4,14.17322835,78.083992,38.88144805,D
32,4148,1182,20.7,0.683,D4,86,0,3,12.5984252,67.913388,24.11991736,D
36,4150,3265,21.3,0.889,B4,81,0,4,14.17322835,69.881892,31.39473871,D
47,4159,1626,25,2.202,D4,39,0,5,18.50393701,82.021,77.7628961,D
45,4164,4034,21.3,1.423,A4,92,2,5,17.71653543,69.881892,50.25277073,D
32,4167,1386,13.7,0.488,D4,82,0,3,12.5984252,44.947508,17.23355736,S
31,4167,4664,27.7,0.898,A4,46,0,3,12.20472441,90.879268,31.71257071,D
34,4175,2838,25.9,0.954,C4,4,0,3,13.38582677,84.973756,33.69019204,D
95,4179,2552,61.9,16.51,C4,42,12,10,37.4015748,203.083996,583.0451474,D
45,4180,1095,19.2,1.31,D4,88,0,5,17.71653543,62.992128,46.26221339,S
41,4180,1676,30.3,1.39,D4,40,0,4,16.14173228,99.409452,49.08738673,D
53,4184,1184,28.7,2.447,D4,87,0,5,20.86614173,94.160108,86.41498944,D
30,4186,2118,24.3,0.804,C4,93,0,3,11.81102362,79.724412,28.39299204,D
28,4186,4506,22.6,0.68,A4,54,5,3,11.02362205,74.146984,24.01397336,D
27,4188,2963,24.4,0.575,C4,3,0,3,10.62992126,80.052496,20.30593336,D
36,4190,4857,18.7,0.68,A4,4,0,4,14.17322835,61.351708,24.01397336,S
54,4193,2440,15.8,1.565,C4,40,9,5,21.25984252,51.837272,55.2674534,S
31,4193,3379,20.7,0.713,B4,80,0,3,12.20472441,67.913388,25.17935737,D
27,4193,4873,21.6,0.45,A4,5,0,3,10.62992126,70.866144,15.89160002,D
83,4197,2805,21.9,5.033,C4,5,0,8,32.67716535,71.850396,177.7387176,D
45,4198,1368,26.8,2.224,D4,81,5,5,17.71653543,87.926512,78.53981877,D
122,4201,4414,53.9,13.361,A4,51,8,12,48.03149606,176.837276,471.8392619,D
78,4202,3406,38.5,4.927,B4,40,0,8,30.70866142,126.31234,173.9953629,D
32,4215,1517,25.6,0.752,D4,46,0,3,12.5984252,83.989504,26.55662937,D
28,4215,4909,23.6,0.643,A4,6,0,3,11.02362205,77.427824,22.7073307,D
27,4217,3012,23.5,0.623,B4,86,0,3,10.62992126,77.09974,22.00103736,D
28,4218,2160,22.6,0.611,C4,95,0,3,11.02362205,74.146984,21.57726136,D
61,4222,2047,28.7,2.357,C4,94,0,6,24.01574803,94.160108,83.23666944,D
25,4223,3412,22.3,0.611,B4,41,0,3,9.842519685,73.162732,21.57726136,D
30,4223,4407,24.4,0.725,A4,52,0,3,11.81102362,80.052496,25.60313337,D
25,4224,1080,19.5,0.356,D4,90,0,3,9.842519685,63.97638,12.57202135,S
27,4227,1851,20.1,0.503,D4,6,0,3,10.62992126,65.944884,17.76327736,D
41,4229,4518,21.9,1.051,A4,55,0,4,16.14173228,71.850396,37.11571471,D
34,4230,3711,20.7,0.532,B4,37,0,3,13.38582677,67.913388,18.78740269,D
31,4231,2552,15.5,0.544,C4,43,0,3,12.20472441,50.85302,19.21117869,S
52,4231,3998,28,2.693,B4,5,12,5,20.47244094,91.86352,95.10239745,D
54,4231,4899,24.7,2.328,A4,7,0,5,21.25984252,81.036748,82.2125441,D
36,4232,3979,25.9,1.082,B4,4,12,4,14.17322835,84.973756,38.21046938,D
30,4234,1535,19.5,0.612,D4,47,8,3,11.81102362,63.97638,21.61257603,S
46,4236,2405,28.7,2.07,C4,41,0,5,18.11023622,94.160108,73.10136009,D
45,4236,2958,33.5,2.376,C4,6,0,5,17.71653543,109.90814,83.90764811,D
35,4237,2352,25.9,1.111,C4,83,0,4,13.77952756,84.973756,39.23459472,D
30,4237,3169,24.1,0.729,B4,90,0,3,11.81102362,79.068244,25.74439203,D
35,4252,2213,24.4,0.887,C4,82,0,4,13.77952756,80.052496,31.32410937,D
51,4257,2652,23.5,2.38,C4,30,0,5,20.07874016,77.09974,84.04890677,D
32,4263,1375,22.3,0.808,D4,80,0,3,12.5984252,73.162732,28.5342507,D
28,4265,3068,21,0.595,B4,89,0,3,11.02362205,68.89764,21.01222669,D
29,4266,4791,22.9,0.732,A4,44,0,3,11.41732283,75.131236,25.85033603,D
25,4268,3117,16,0.316,B4,91,0,3,9.842519685,52.49344,11.15943468,S
48,4268,3347,31.4,2.427,B4,77,0,5,18.8976378,103.018376,85.70869611,D
47,4271,3576,20.7,1.548,B4,42,14,5,18.50393701,67.913388,54.66710407,D
35,4275,1374,23.8,1.094,D4,79,0,4,13.77952756,78.083992,38.63424538,D
42,4275,1575,19.5,1.394,D4,48,0,4,16.53543307,63.97638,49.2286454,S
40,4276,4303,13.1,0.567,A4,88,0,5,15.7480315,42.979004,20.02341603,S
26,4279,2126,16.2,0.395,C4,96,0,3,10.23622047,53.149608,13.94929335,S
62,4280,3235,41.5,4.323,B4,74,8,6,24.40944882,136.15486,152.6653042,D
31,4280,3636,17.7,0.51,B4,35,0,3,12.20472441,58.070868,18.01048002,S
26,4280,4143,17.7,0.33,A4,93,0,3,10.23622047,58.070868,11.65384001,S
65,4281,3396,48.9,6.584,B4,78,0,7,25.59055118,160.433076,232.5117656,D
34,4285,4373,22.3,0.678,A4,89,0,3,13.38582677,73.162732,23.94334403,D
42,4297,3676,27.3,1.562,B4,34,0,4,16.53543307,89.566932,55.1615094,D
34,4299,2441,21.3,0.944,C4,44,0,3,13.38582677,69.881892,33.33704538,D
30,4299,3302,18.3,0.622,B4,79,0,3,11.81102362,60.039372,21.96572269,S
28,4299,3377,24.7,0.644,B4,76,0,3,11.02362205,81.036748,22.74264536,D
25,4300,3938,20.1,0.408,B4,6,0,3,9.842519685,65.944884,14.40838402,D
26,4301,2736,22.6,0.543,C4,34,0,3,10.23622047,74.146984,19.17586402,D
69,4301,4302,41.9,4.191,A4,87,2,7,27.16535433,137.467196,148.0037682,D
38,4302,4696,29.9,1.543,A4,43,0,4,14.96062992,98.097116,54.49053074,D
28,4303,1840,21.9,0.728,D4,7,0,3,11.02362205,71.850396,25.70907737,D
76,4303,2056,18.3,4.035,C4,99,8,8,29.92125984,60.039372,142.4946802,S
28,4303,2127,21.3,0.656,C4,97,0,3,11.02362205,69.881892,23.16642136,D
28,4303,2199,21,0.678,C4,98,0,3,11.02362205,68.89764,23.94334403,D
26,4303,3412,12.2,0.229,B4,43,0,3,10.23622047,40.026248,8.087058677,S
49,4305,2242,19.2,2.317,C4,81,0,5,19.29133858,62.992128,81.82408277,S
46,4305,4177,25.8,1.728,A4,94,0,5,18.11023622,84.645672,61.02374408,D
57,4309,2026,24.1,3.277,C4,100,0,6,22.44094488,79.068244,115.7261628,D
28,4309,2333,18.9,0.51,C4,80,0,3,11.02362205,62.007876,18.01048002,S
63,4310,4513,28.3,3.501,A4,56,0,6,24.80314961,92.847772,123.6366482,D
44,4315,2777,24.7,1.493,C4,33,0,4,17.32283465,81.036748,52.7247974,D
37,4316,1387,28.3,1.625,D4,78,0,4,14.56692913,92.847772,57.38633341,D
45,4317,2672,21.3,1.554,C4,29,0,5,17.71653543,69.881892,54.87899207,D
34,4318,2376,20.1,0.806,C4,75,0,3,13.38582677,65.944884,28.46362137,D
33,4321,3829,25.5,0.91,B4,9,0,3,12.99212598,83.66142,32.13634671,D
34,4326,3885,24.4,0.836,B4,7,0,3,13.38582677,80.052496,29.52306137,D
27,4329,4056,22.6,0.485,A4,96,0,3,10.62992126,74.146984,17.12761336,D
62,4333,1832,21.6,2.536,D4,8,0,6,24.40944882,70.866144,89.55799478,D
56,4333,1961,27.7,2.774,D4,9,0,6,22.04724409,90.879268,97.96288546,D
38,4334,4426,23.2,1.228,A4,62,12,4,14.96062992,76.115488,43.36641072,D
61,4337,4981,36.7,3.819,A4,8,0,6,24.01574803,120.406828,134.8667122,D
38,4342,1369,23.5,1.006,D4,77,0,4,14.96062992,77.09974,35.52655471,D
34,4347,2309,18,0.749,C4,79,0,3,13.38582677,59.05512,26.45068537,S
26,4351,3860,20.7,0.513,B4,10,0,3,10.23622047,67.913388,18.11642402,D
35,4352,2451,22.3,0.932,C4,45,0,4,13.77952756,73.162732,32.91326938,D
43,4353,1998,19.8,1.294,D4,10,0,4,16.92913386,64.960632,45.69717872,S
32,4353,3019,18,0.544,B4,88,0,3,12.5984252,59.05512,19.21117869,S
43,4357,4706,21.6,1.507,A4,42,0,4,16.92913386,70.866144,53.21920273,D
45,4360,1370,26.5,2.267,D4,75,4,5,17.71653543,86.94226,80.05834943,D
53,4362,3239,22.9,1.723,B4,73,0,5,20.86614173,75.131236,60.84717074,D
46,4364,4918,24.7,1.839,A4,9,0,5,18.11023622,81.036748,64.94367208,D
98,4368,3883,57.3,13.267,B4,8,0,10,38.58267717,187.992132,468.5196833,D
48,4373,1627,23.2,1.668,D4,38,0,5,18.8976378,76.115488,58.90486407,D
62,4377,3579,24,3.065,B4,55,0,6,24.40944882,78.74016,108.2394535,D
26,4382,4300,15.8,0.415,A4,86,0,3,10.23622047,51.837272,14.65558669,S
35,4390,2605,23.5,0.927,C4,31,0,4,13.77952756,77.09974,32.73669604,D
110,4392,1783,57.3,17.04,D4,36,0,11,43.30708661,187.992132,601.7619208,D
37,4395,4504,15.8,0.659,A4,57,0,4,14.56692913,51.837272,23.27236536,S
37,4396,3013,20.7,0.869,B4,96,0,4,14.56692913,67.913388,30.68844537,D
25,4398,3078,20.1,0.447,B4,94,0,3,9.842519685,65.944884,15.78565602,D
96,4398,4907,58.3,11.928,A4,10,0,10,37.79527559,191.272972,421.2333445,D
29,4403,4622,22.6,0.703,A4,40,0,3,11.41732283,74.146984,24.8262107,D
27,4403,4687,16.5,0.4,A4,41,0,3,10.62992126,54.13386,14.12586668,S
35,4405,3938,22.6,0.939,B4,12,0,4,13.77952756,74.146984,33.16047204,D
50,4413,1778,21.6,1.858,D4,35,0,5,19.68503937,70.866144,65.61465075,D
48,4413,2283,23.2,1.914,C4,76,0,5,18.8976378,76.115488,67.59227209,D
36,4415,4014,22.9,0.878,A4,98,0,4,14.17322835,75.131236,31.00627737,D
35,4416,4831,19.2,0.67,A4,11,0,4,13.77952756,62.992128,23.6608267,S
27,4421,4927,18.9,0.501,A4,13,0,3,10.62992126,62.007876,17.69264802,S
29,4426,2853,22.3,0.6,C4,7,0,3,11.41732283,73.162732,21.18880003,D
38,4427,4054,20.7,1.059,A4,97,0,4,14.96062992,67.913388,37.39823205,D
39,4428,3290,19.5,0.78,B4,71,0,4,15.35433071,63.97638,27.54544003,S
54,4428,3750,28.7,3.004,B4,31,0,5,21.25984252,94.160108,106.0852588,D
40,4428,4819,22.3,1.13,A4,12,0,4,15.7480315,73.162732,39.90557338,D
30,4429,2265,24.1,0.885,C4,78,0,3,11.81102362,79.068244,31.25348004,D
67,4432,1517,38.1,4.511,D4,49,0,7,26.37795276,125.000004,159.3044615,D
48,4433,1414,21,1.382,D4,52,0,5,18.8976378,68.89764,48.8048694,D
25,4434,3389,17.7,0.384,B4,75,4,3,9.842519685,58.070868,13.56083202,S
53,4434,3440,19.8,1.968,B4,44,0,5,20.86614173,64.960632,69.49926409,S
28,4436,1776,19.9,0.522,D4,37,0,3,11.02362205,65.288716,18.43425602,S
29,4436,2704,17.7,0.589,C4,28,12,3,11.41732283,58.070868,20.80033869,S
42,4436,3461,23.8,1.203,B4,45,0,4,16.53543307,78.083992,42.48354405,D
28,4439,1606,18,0.51,D4,34,0,3,11.02362205,59.05512,18.01048002,S
54,4440,4505,29.9,2.785,A4,59,0,5,21.25984252,98.097116,98.35134679,D
34,4441,3077,20.4,0.675,B4,97,14,3,13.38582677,66.929136,23.83740003,D
25,4444,2194,20.7,0.385,C4,102,0,3,9.842519685,67.913388,13.59614668,D
54,4445,4461,25.6,2.037,A4,61,0,5,21.25984252,83.989504,71.93597609,D
30,4447,2719,24.1,0.812,C4,27,0,3,11.81102362,79.068244,28.67550937,D
79,4450,3364,23.2,5.798,B4,72,2,8,31.1023622,76.115488,204.7544376,D
27,4451,2641,21.6,0.449,C4,32,0,3,10.62992126,70.866144,15.85628535,D
65,4451,3193,34.7,3.632,B4,92,0,7,25.59055118,113.845148,128.2628695,D
27,4452,1222,23.2,0.611,D4,76,0,3,10.62992126,76.115488,21.57726136,D
32,4453,3867,21.6,0.782,B4,11,0,3,12.5984252,70.866144,27.61606937,D
27,4454,1059,16.8,0.337,D4,91,0,3,10.62992126,55.118112,11.90104268,S
40,4454,2129,22.9,1.262,C4,101,0,4,15.7480315,75.131236,44.56710939,D
120,4454,4726,67.6,25.699,A4,39,0,12,47.24409449,221.784784,907.5516198,D
27,4456,2277,21.3,0.522,C4,74,0,3,10.62992126,69.881892,18.43425602,D
51,4464,4507,26.2,1.922,A4,60,0,5,20.07874016,85.958008,67.87478942,D
38,4465,1370,20.7,0.859,D4,74,4,4,14.96062992,67.913388,30.33529871,D
53,4467,2209,24.7,2.17,C4,72,0,5,20.86614173,81.036748,76.63282676,D
26,4474,1960,23.2,0.534,D4,12,0,3,10.23622047,76.115488,18.85803202,D
60,4483,1091,37.2,3.092,D4,92,0,6,23.62204724,122.047248,109.1929495,D
27,4484,4744,19.2,0.489,A4,38,0,3,10.62992126,62.992128,17.26887202,S
28,4486,1661,20.7,0.567,D4,33,0,3,11.02362205,67.913388,20.02341603,D
39,4486,3776,30.2,1.566,B4,32,0,4,15.35433071,99.081368,55.30276807,D
26,4489,3250,17.4,0.361,B4,70,0,3,10.23622047,57.086616,12.74859468,S
38,4490,3274,14.6,0.729,B4,69,0,4,14.96062992,47.900264,25.74439203,S
38,4492,1463,24.7,1.224,D4,50,0,4,14.96062992,81.036748,43.22515205,D
40,4493,4811,23.8,1.297,A4,14,8,4,15.7480315,78.083992,45.80312272,D
59,4501,1353,22.3,1.517,D4,73,0,6,23.22834646,73.162732,53.5723494,D
66,4501,3082,24.4,4.324,B4,95,9,7,25.98425197,80.052496,152.7006189,D
70,4502,1982,44,5.746,D4,11,0,7,27.55905512,144.35696,202.9180749,D
36,4507,3477,19.5,0.871,B4,46,0,4,14.17322835,63.97638,30.75907471,S
38,4509,1133,22.3,1.034,D4,89,0,4,14.96062992,73.162732,36.51536538,D
72,4513,2833,39.3,3.659,C4,9,12,7,28.34645669,128.937012,129.2163655,D
47,4514,2700,24.1,1.846,C4,26,12,5,18.50393701,79.068244,65.19087475,D
30,4516,1968,24.4,0.761,D4,13,0,3,11.81102362,80.052496,26.87446137,D
47,4520,1248,20.4,1.758,D4,72,0,5,18.50393701,66.929136,62.08318408,D
32,4521,3421,19.6,0.748,B4,47,0,3,12.5984252,64.304464,26.4153707,S
37,4523,3983,25.9,1.254,B4,17,0,4,14.56692913,84.973756,44.28459206,D
35,4523,4716,22.3,0.834,A4,37,0,4,13.77952756,73.162732,29.45243204,D
25,4524,1172,15.2,0.328,D4,94,0,3,9.842519685,49.868768,11.58321068,S
46,4527,1231,19.2,1.325,D4,71,0,5,18.11023622,62.992128,46.79193339,S
52,4528,1010,29.1,1.941,D4,93,0,5,20.47244094,95.472444,68.54576809,D
78,4528,1639,38.5,4.927,D4,32,0,8,30.70866142,126.31234,173.9953629,D
31,4528,2844,24.4,0.805,C4,10,0,3,12.20472441,80.052496,28.4283067,D
60,4528,3804,14.2,2.544,B4,13,8,6,23.62204724,46.587928,89.84051211,S
25,4531,1973,18.3,0.41,D4,14,0,3,9.842519685,60.039372,14.47901335,S
38,4535,1537,22.9,1.136,D4,51,0,4,14.96062992,75.131236,40.11746138,D
28,4539,3185,13.7,0.371,B4,93,0,3,11.02362205,44.947508,13.10174135,S
36,4544,2451,20.8,0.622,C4,46,0,4,14.17322835,68.241472,21.96572269,D
38,4545,2130,25,1.166,C4,103,0,4,14.96062992,82.021,41.17690139,D
26,4548,1952,19.8,0.375,D4,15,0,3,10.23622047,64.960632,13.24300002,S
42,4552,1553,19.5,0.989,D4,53,0,4,16.53543307,63.97638,34.92620538,S
75,4552,2877,53.6,8.474,C4,8,0,8,29.52755906,175.853024,299.2564857,D
29,4559,3873,21.3,0.728,B4,15,0,3,11.41732283,69.881892,25.70907737,D
28,4563,4239,19.8,0.612,A4,84,0,3,11.02362205,64.960632,21.61257603,S
62,4565,3890,28,3.603,B4,14,0,6,24.40944882,91.86352,127.2387442,D
36,4570,4312,21.3,0.993,A4,85,0,4,14.17322835,69.881892,35.06746404,D
25,4573,3164,21.9,0.485,B4,99,0,3,9.842519685,71.850396,17.12761336,D
48,4573,3692,31.4,2.666,B4,30,0,5,18.8976378,103.018376,94.14890145,D
37,4576,3614,15.2,0.61,B4,33,0,4,14.56692913,49.868768,21.54194669,S
27,4578,1230,16.5,0.347,D4,70,0,3,10.62992126,54.13386,12.25418935,S
34,4578,3412,30.8,1.185,B4,48,0,3,13.38582677,101.049872,41.84788005,D
34,4584,3433,20.1,0.913,B4,49,0,3,13.38582677,65.944884,32.24229071,D
44,4585,4264,22.2,1.002,A4,81,0,4,17.32283465,72.834648,35.38529604,D
56,4585,4427,30.2,2.898,A4,63,0,6,22.04724409,99.081368,102.3419041,D
30,4589,2689,20.1,0.602,C4,24,0,3,11.81102362,65.944884,21.25942936,D
30,4592,4710,20.4,0.719,A4,34,0,3,11.81102362,66.929136,25.39124537,D
44,4596,2407,23.5,1.409,C4,48,0,4,17.32283465,77.09974,49.7583654,D
37,4602,1251,24.3,1.279,D4,69,0,4,14.56692913,79.724412,45.16745872,D
29,4602,3038,18.9,0.478,B4,98,0,3,11.41732283,62.007876,16.88041069,S
45,4605,3563,18.3,1.225,B4,50,0,5,17.71653543,60.039372,43.26046672,S
44,4605,3951,21.9,1.606,B4,16,0,4,17.32283465,71.850396,56.71535474,D
56,4611,3131,25.5,2.351,B4,101,0,6,22.04724409,83.66142,83.02478144,D
28,4613,4305,18.6,0.481,A4,80,0,3,11.02362205,61.023624,16.98635469,S
30,4614,2799,22.3,0.615,C4,25,0,3,11.81102362,73.162732,21.71852003,D
27,4616,4317,16.2,0.375,A4,79,0,3,10.62992126,53.149608,13.24300002,S
33,4617,4704,22.3,0.914,A4,33,0,3,12.99212598,73.162732,32.27760537,D
54,4622,3687,22.6,2.539,B4,29,0,5,21.25984252,74.146984,89.66393878,D
62,4623,2306,24,3.065,C4,71,0,6,24.40944882,78.74016,108.2394535,D
29,4624,1688,12.2,0.304,D4,30,0,3,11.41732283,40.026248,10.73565868,S
27,4624,1716,12.2,0.214,D4,29,0,3,10.62992126,40.026248,7.557338676,S
32,4627,1377,22.2,0.756,D4,67,0,3,12.5984252,72.834648,26.69788803,D
25,4627,2078,18.6,0.386,C4,104,5,3,9.842519685,61.023624,13.63146135,S
32,4628,4412,16.2,0.436,A4,64,2,3,12.5984252,53.149608,15.39719469,S
35,4630,1176,12.8,0.355,D4,95,0,4,13.77952756,41.994752,12.53670668,S
32,4631,1968,22.1,0.874,D4,16,0,3,12.5984252,72.506564,30.86501871,D
68,4631,4834,29.3,4.488,A4,15,8,7,26.77165354,96.128612,158.4922242,D
49,4632,3589,23.8,2.317,B4,51,0,5,19.29133858,78.083992,81.82408277,D
51,4634,3290,26.9,2.409,B4,68,0,5,20.07874016,88.254596,85.07303211,D
39,4639,3066,22.3,1.283,B4,100,12,4,15.35433071,73.162732,45.30871739,D
98,4640,3163,57.3,13.267,B4,102,0,10,38.58267717,187.992132,468.5196833,D
31,4649,4366,18.7,0.616,A4,78,0,3,12.20472441,61.351708,21.75383469,S
25,4650,1699,18,0.359,D4,31,0,3,9.842519685,59.05512,12.67796535,S
30,4653,3953,19.8,0.558,B4,18,0,3,11.81102362,64.960632,19.70558403,S
55,4655,4711,22.9,2.295,A4,35,0,6,21.65354331,75.131236,81.0471601,D
30,4657,4728,24.4,0.754,A4,36,12,3,11.81102362,80.052496,26.6272587,D
46,4659,1139,28.7,1.915,D4,96,0,5,18.11023622,94.160108,67.62758675,D
35,4663,2545,22.3,0.865,C4,47,0,4,13.77952756,73.162732,30.54718671,D
25,4664,3164,18.6,0.427,B4,106,0,3,9.842519685,61.023624,15.07936269,S
37,4666,1674,21,0.894,D4,27,0,4,14.56692913,68.89764,31.57131204,D
34,4667,1201,23.8,0.725,D4,97,0,3,13.38582677,78.083992,25.60313337,D
32,4681,2312,23.5,0.867,C4,70,0,3,12.5984252,77.09974,30.61781604,D
67,4682,3007,39.5,4.765,B4,103,0,7,26.37795276,129.59318,168.2743869,D
63,4683,2025,22.9,4.003,C4,108,0,6,24.80314961,75.131236,141.3646108,D
33,4684,2893,22.9,0.897,C4,12,0,3,12.99212598,75.131236,31.67725604,D
25,4685,1889,19.2,0.425,D4,18,0,3,9.842519685,62.992128,15.00873335,S
47,4686,1279,22.9,1.931,D4,68,0,5,18.50393701,75.131236,68.19262142,D
34,4687,1694,20.7,0.626,D4,26,0,3,13.38582677,67.913388,22.10698136,D
29,4692,4563,23.4,0.59,A4,65,0,3,11.41732283,76.771656,20.83565336,D
40,4693,2836,24.4,1.159,C4,11,0,4,15.7480315,80.052496,40.92969872,D
26,4698,2956,25.9,0.678,C4,13,0,3,10.23622047,84.973756,23.94334403,D
36,4700,2147,20.4,0.676,C4,107,0,4,14.17322835,66.929136,23.8727147,D
42,4700,4182,28.3,1.5,A4,100,0,4,16.53543307,92.847772,52.97200007,D
155,4700,4973,59,35.978,A4,16,0,13,61.02362205,193.56956,1270.551079,D
42,4702,1429,26.4,1.412,D4,54,0,4,16.53543307,86.614176,49.8643094,D
26,4702,2072,22.3,0.547,C4,105,0,3,10.23622047,73.162732,19.31712269,D
43,4702,4249,27.4,1.793,A4,82,0,4,16.92913386,89.895016,63.31919741,D
53,4703,2477,24.1,2.315,C4,49,8,5,20.86614173,79.068244,81.75345344,D
30,4705,4403,16.5,0.664,A4,77,0,3,11.81102362,54.13386,23.4489387,S
56,4711,2693,36.3,2.883,C4,23,0,6,22.04724409,119.094492,101.8121841,D
64,4711,4332,25.3,3.854,A4,76,0,6,25.19685039,83.005252,136.1027255,D
33,4712,1659,20.1,0.707,D4,25,0,3,12.99212598,65.944884,24.96746937,D
29,4712,4205,19.5,0.711,A4,83,0,3,11.41732283,63.97638,25.10872803,S
45,4715,1952,19.2,1.21,D4,17,14,5,17.71653543,62.992128,42.73074672,S
28,4715,2034,22.3,0.62,C4,109,5,3,11.02362205,73.162732,21.89509336,D
28,4718,2083,25.9,0.728,C4,106,0,3,11.02362205,84.973756,25.70907737,D
48,4718,4637,29.9,2.761,A4,32,0,5,18.8976378,98.097116,97.50379479,D
29,4719,3036,22.6,0.718,B4,105,0,3,11.41732283,74.146984,25.3559307,D
28,4720,3063,13.7,0.257,B4,104,0,3,11.02362205,44.947508,9.075869345,S
52,4720,3846,26.8,3.091,B4,113,8,5,20.47244094,87.926512,109.1576348,D
29,4720,4714,21.9,0.57,A4,31,0,3,11.41732283,71.850396,20.12936003,D
62,4722,2585,41.5,4.323,C4,54,0,6,24.40944882,136.15486,152.6653042,D
51,4722,4967,21.6,1.926,A4,17,0,5,20.07874016,70.866144,68.01604809,D
37,4725,1037,20.1,0.917,D4,105,0,4,14.56692913,65.944884,32.38354937,D
47,4725,1424,27.6,1.902,D4,55,4,5,18.50393701,90.551184,67.16849609,D
28,4727,3501,22.3,0.617,B4,52,0,3,11.02362205,73.162732,21.78914936,D
32,4731,1023,18.6,0.635,D4,104,0,3,12.5984252,61.023624,22.42481336,S
26,4738,2346,21.6,0.63,C4,68,0,3,10.23622047,70.866144,22.24824003,D
58,4738,3922,39,3.403,B4,19,0,6,22.83464567,127.95276,120.1758108,D
37,4741,4933,22.3,0.871,A4,18,0,4,14.56692913,73.162732,30.75907471,D
100,4744,3497,47.6,9.201,B4,53,8,10,39.37007874,156.167984,324.9302484,D
40,4749,1762,24.1,1.264,D4,28,0,4,15.7480315,79.068244,44.63773872,D
55,4752,1619,26.8,2.204,D4,24,0,6,21.65354331,87.926512,77.83352543,D
50,4756,4787,28.3,2.477,A4,30,0,5,19.68503937,92.847772,87.47442944,D
28,4757,2246,21,0.418,C4,69,0,3,11.02362205,68.89764,14.76153069,D
27,4762,3501,18,0.502,B4,54,0,3,10.62992126,59.05512,17.72796269,S
44,4763,4008,23.2,1.68,A4,103,8,4,17.32283465,76.115488,59.32864008,D
25,4766,4259,14.3,0.401,A4,74,0,3,9.842519685,46.916012,14.16118135,S
28,4768,2445,21.9,0.511,C4,50,0,3,11.02362205,71.850396,18.04579469,D
30,4770,2662,20.6,0.59,C4,22,0,3,11.81102362,67.585304,20.83565336,D
26,4773,4801,23.5,0.381,A4,29,0,3,10.23622047,77.09974,13.45488802,D
25,4774,2391,18.6,0.385,C4,66,0,3,9.842519685,61.023624,13.59614668,S
93,4774,4553,48.2,11.904,A4,66,0,9,36.61417323,158.136488,420.3857925,D
27,4781,4237,22.6,0.545,A4,73,0,3,10.62992126,74.146984,19.24649336,D
40,4782,2902,20.4,1.135,C4,14,0,4,15.7480315,66.929136,40.08214672,D
25,4788,4955,14.8,0.38,A4,19,0,3,9.842519685,48.556432,13.41957335,S
27,4789,4132,21.3,0.49,A4,102,0,3,10.62992126,69.881892,17.30418669,D
28,4794,2174,18.3,0.592,C4,110,0,3,11.02362205,60.039372,20.90628269,S
40,4799,4100,25.9,1.697,A4,101,8,4,15.7480315,84.973756,59.92898941,D
53,4799,4379,27.4,2.777,A4,75,0,5,20.86614173,89.895016,98.06882946,D
35,4803,3768,22.3,0.962,B4,28,0,4,13.77952756,73.162732,33.97270938,D
29,4803,4427,18,0.495,A4,68,0,3,11.41732283,59.05512,17.48076002,S
43,4808,1253,23,1.346,D4,66,0,4,16.92913386,75.45932,47.53354139,D
34,4812,1237,18.6,0.649,D4,65,0,3,13.38582677,61.023624,22.9192187,S
52,4813,4267,29.3,2.97,A4,72,0,5,20.47244094,96.128612,104.8845601,D
27,4818,3366,21.2,0.509,B4,67,0,3,10.62992126,69.553808,17.97516536,D
47,4819,2591,27.4,2.547,C4,51,0,5,18.50393701,89.895016,89.94645611,D
104,4819,4857,53.7,14.04,A4,21,0,10,40.94488189,176.181108,495.8179206,D
38,4820,2387,27.4,1.396,C4,65,0,4,14.96062992,89.895016,49.29927473,D
33,4822,1368,20.1,0.748,D4,64,0,3,12.99212598,65.944884,26.4153707,D
78,4829,1302,38.5,4.927,D4,62,4,8,30.70866142,126.31234,173.9953629,D
37,4834,1637,25.6,1.056,D4,23,0,4,14.56692913,83.989504,37.29228805,D
33,4836,2557,24.8,0.799,C4,52,0,3,12.99212598,81.364832,28.2164187,D
35,4836,4948,21,0.905,A4,20,0,4,13.77952756,68.89764,31.95977337,D
40,4837,1176,19.2,1.093,D4,98,0,4,15.7480315,62.992128,38.59893072,S
36,4837,2717,25.9,1.115,C4,21,0,4,14.17322835,84.973756,39.37585338,D
25,4837,3581,21.9,0.494,B4,56,0,3,9.842519685,71.850396,17.44544536,D
76,4841,2009,18.3,4.035,C4,111,0,8,29.92125984,60.039372,142.4946802,S
46,4843,3867,33.8,2.719,B4,20,12,5,18.11023622,110.892392,96.02057879,D
29,4854,3595,20.4,0.581,B4,57,0,3,11.41732283,66.929136,20.51782136,D
32,4855,1364,19.8,0.597,D4,63,0,3,12.5984252,64.960632,21.08285603,S
33,4855,4846,20.1,0.711,A4,22,0,3,12.99212598,65.944884,25.10872803,D
48,4856,3860,25.6,1.912,B4,21,0,5,18.8976378,83.989504,67.52164275,D
35,4859,2184,12.5,0.368,C4,112,0,4,13.77952756,41.0105,12.99579735,S
34,4859,2520,22.3,0.731,C4,53,0,3,13.38582677,73.162732,25.81502137,D
