Diameter_cm,Longitude,Latitude,Height_m,Volume_cum,SubPlot,x2,x3,DBHClass,Diameter_in,Height_ft,Volume_cuft,CC
25,1138,1275,19.5,0.413,D1,106,0,3,9.842519685,63.97638,14.58495735,S
61,1138,2889,29.9,3.252,C1,3,0,6,24.01574803,98.097116,114.8432961,D
29,1138,3650,14.8,0.414,B1,44,0,3,11.41732283,48.556432,14.62027202,S
32,1139,2036,19.2,0.71,C1,102,0,3,12.5984252,62.992128,25.07341337,S
47,1141,1130,19.2,1.525,D1,118,0,5,18.50393701,62.992128,53.85486674,S
28,1141,4711,20.1,0.544,A1,49,0,3,11.02362205,65.944884,19.21117869,D
64,1142,3507,46.9,5.116,B1,52,4,6,25.19685039,153.871396,180.6698349,D
28,1143,1833,20.1,0.545,D1,6,0,3,11.02362205,65.944884,19.24649336,D
30,1143,4410,28.7,0.734,A1,59,0,3,11.81102362,94.160108,25.92096537,D
28,1147,2960,22.3,0.677,C1,4,0,3,11.02362205,73.162732,23.90802936,D
46,1150,1311,20.1,1.403,D1,105,0,5,18.11023622,65.944884,49.5464774,D
44,1152,1181,21.3,1.409,D1,117,0,4,17.32283465,69.881892,49.7583654,D
46,1152,3479,14.9,0.927,B1,53,0,5,18.11023622,48.884516,32.73669604,S
26,1153,4598,22.3,0.585,A1,58,0,3,10.23622047,73.162732,20.65908003,D
40,1156,4881,23.5,1.22,A1,4,0,4,15.7480315,77.09974,43.08389339,D
27,1160,3598,21.3,0.648,B1,54,0,3,10.62992126,69.881892,22.88390403,D
25,1161,4425,17.5,0.375,A1,61,0,3,9.842519685,57.4147,13.24300002,S
32,1163,2613,20.1,0.743,C1,37,0,3,12.5984252,65.944884,26.23879737,D
32,1164,2311,26.8,0.936,C1,94,0,3,12.5984252,87.926512,33.05452804,D
90,1168,3421,45.2,9.472,B1,55,8,9,35.43307087,148.293968,334.5005231,D
25,1169,2035,17.8,0.364,C1,103,0,3,9.842519685,58.398952,12.85453868,S
49,1170,2239,30.5,3.053,C1,93,0,5,19.29133858,100.06562,107.8156775,D
31,1172,1335,17.7,0.682,D1,107,0,3,12.20472441,58.070868,24.0846027,S
32,1186,3807,22.9,0.789,B1,5,0,3,12.5984252,75.131236,27.86327204,D
59,1186,4342,25.3,2.831,A1,98,2,6,23.22834646,83.005252,99.97582146,D
45,1189,4037,21.6,1.487,A1,106,0,5,17.71653543,70.866144,52.5129094,D
28,1191,2591,21.6,0.642,C1,48,0,3,11.02362205,70.866144,22.67201603,D
29,1192,1977,29.9,0.836,D1,9,0,3,11.41732283,98.097116,29.52306137,D
42,1192,3988,19.8,1.137,B1,4,0,4,16.53543307,64.960632,40.15277605,S
32,1195,1012,21.3,0.635,D1,119,0,3,12.5984252,69.881892,22.42481336,D
29,1196,4559,20.4,0.58,A1,60,0,3,11.41732283,66.929136,20.48250669,D
25,1197,4319,25.9,0.478,A1,99,0,3,9.842519685,84.973756,16.88041069,D
30,1198,1271,21.3,0.753,D1,104,0,3,11.81102362,69.881892,26.59194403,D
34,1201,2421,19.8,0.811,C1,49,0,3,13.38582677,64.960632,28.6401947,S
31,1202,1675,22.9,0.763,D1,54,0,3,12.20472441,75.131236,26.9450907,D
34,1203,3755,26.6,1.057,B1,43,0,3,13.38582677,87.270344,37.32760271,D
32,1209,2645,16.2,0.485,C1,36,0,3,12.5984252,53.149608,17.12761336,S
39,1215,4337,24.1,1.112,A1,96,0,4,15.35433071,79.068244,39.26990938,D
47,1216,4926,23.8,1.903,A1,7,3,5,18.50393701,78.083992,67.20381075,D
51,1217,3405,25.1,1.944,B1,56,0,5,20.07874016,82.349084,68.65171209,D
28,1218,3210,22.6,0.515,B1,91,0,3,11.02362205,74.146984,18.18705336,D
35,1219,3223,21,0.893,B1,90,0,4,13.77952756,68.89764,31.53599737,D
67,1219,3249,34.9,3.555,B1,89,0,7,26.37795276,114.501316,125.5436402,D
32,1222,4899,25.3,0.857,A1,5,0,3,12.5984252,83.005252,30.26466937,D
46,1223,2214,29.9,2.291,C1,92,0,5,18.11023622,98.097116,80.90590144,D
45,1227,2182,30.8,1.703,C1,104,0,5,17.71653543,101.049872,60.14087741,D
32,1227,3836,18.9,0.753,B1,6,0,3,12.5984252,62.007876,26.59194403,S
28,1232,2811,19.5,0.579,C1,6,0,3,11.02362205,63.97638,20.44719203,S
25,1233,4337,19,0.444,A1,95,0,3,9.842519685,62.33596,15.67971202,S
61,1234,3606,30.8,4.174,B1,42,0,6,24.01574803,101.049872,147.4034189,D
45,1238,2952,19.2,1.21,C1,5,0,5,17.71653543,62.992128,42.73074672,S
32,1238,3234,14.3,0.437,B1,92,2,3,12.5984252,46.916012,15.43250935,S
38,1239,1092,24.1,1.06,D1,124,0,4,14.96062992,79.068244,37.43354671,D
29,1240,4102,19.4,0.626,A1,108,0,3,11.41732283,63.648296,22.10698136,S
41,1242,2363,19.8,1.232,C1,90,0,4,16.14173228,64.960632,43.50766939,S
41,1242,4394,19.2,1.111,A1,97,0,4,16.14173228,62.992128,39.23459472,S
25,1246,1219,24.7,0.498,D1,103,0,3,9.842519685,81.036748,17.58670402,D
47,1248,3298,22.6,2.028,B1,88,0,5,18.50393701,74.146984,71.61814409,D
45,1248,4839,21.3,1.233,A1,6,0,5,17.71653543,69.881892,43.54298406,D
28,1251,1894,18,0.415,D1,10,10,3,11.02362205,59.05512,14.65558669,S
25,1251,4309,13.1,0.232,A1,94,0,3,9.842519685,42.979004,8.193002677,S
28,1255,3404,14.9,0.404,B1,57,0,3,11.02362205,48.884516,14.26712535,S
31,1259,3748,25.3,0.78,B1,39,0,3,12.20472441,83.005252,27.54544003,D
26,1260,1586,19.3,0.474,D1,63,0,3,10.23622047,63.320212,16.73915202,S
25,1261,1069,19.4,0.348,D1,123,5,3,9.842519685,63.648296,12.28950402,S
41,1264,1096,24.4,1.526,D1,125,0,4,16.14173228,80.052496,53.8901814,D
35,1264,1683,23.8,0.912,D1,53,0,4,13.77952756,78.083992,32.20697604,D
52,1266,4058,25.9,2.44,A1,107,0,5,20.47244094,84.973756,86.16778678,D
29,1267,1620,21,0.627,D1,52,0,3,11.41732283,68.89764,22.14229603,D
27,1268,2092,23.2,0.56,C1,105,0,3,10.62992126,76.115488,19.77621336,D
37,1270,2230,18.3,0.649,C1,91,0,4,14.56692913,60.039372,22.9192187,S
32,1270,3734,22.9,0.726,B1,41,0,3,12.5984252,75.131236,25.63844803,D
43,1271,2576,25.3,1.799,C1,51,0,4,16.92913386,83.005252,63.53108541,D
25,1272,1028,22.6,0.542,D1,120,0,3,9.842519685,74.146984,19.14054936,D
38,1280,1703,22.3,0.94,D1,51,0,4,14.96062992,73.162732,33.19578671,D
32,1285,1123,23.6,0.863,D1,122,0,3,12.5984252,77.427824,30.47655737,D
33,1286,2951,21.3,0.585,C1,7,0,3,12.99212598,69.881892,20.65908003,D
88,1287,4689,53.1,8.068,A1,45,0,9,34.64566929,174.212604,284.918731,D
30,1288,3893,22.9,0.717,B1,7,0,3,11.81102362,75.131236,25.32061603,D
38,1289,2769,26.9,1.604,C1,34,0,4,14.96062992,88.254596,56.64472541,D
26,1291,1792,23.5,0.514,D1,56,0,3,10.23622047,77.09974,18.15173869,D
32,1292,1409,21.6,0.776,D1,67,0,3,12.5984252,70.866144,27.40418137,D
89,1292,1922,44.5,8.031,D1,11,0,9,35.03937008,145.99738,283.6120884,D
36,1296,1223,19.2,0.851,D1,102,0,4,14.17322835,62.992128,30.05278137,S
58,1297,1318,24.7,2.999,D1,100,0,6,22.83464567,81.036748,105.9086855,D
50,1298,1132,18.7,1.519,D1,121,0,5,19.68503937,61.351708,53.64297873,S
34,1298,2099,24.4,0.896,C1,106,0,3,13.38582677,80.052496,31.64194137,D
35,1298,4705,18.6,0.646,A1,46,0,4,13.77952756,61.023624,22.8132747,S
25,1299,2710,16.8,0.332,C1,35,0,3,9.842519685,55.118112,11.72446935,S
41,1299,4965,22.9,1.176,A1,8,0,4,16.14173228,75.131236,41.53004805,D
37,1301,3438,24.9,1.047,B1,58,0,4,14.56692913,81.692916,36.97445605,D
37,1303,1716,20.7,1.118,D1,49,0,4,14.56692913,67.913388,39.48179738,D
29,1304,1730,21.3,0.601,D1,50,0,3,11.41732283,69.881892,21.22411469,D
34,1305,1797,24.4,0.839,D1,55,0,3,13.38582677,80.052496,29.62900537,D
47,1311,1252,22.9,1.943,D1,99,0,5,18.50393701,75.131236,68.61639742,D
28,1312,4764,19.5,0.436,A1,47,0,3,11.02362205,63.97638,15.39719469,S
28,1314,1908,18.9,0.481,D1,12,0,3,11.02362205,62.007876,16.98635469,S
53,1314,3697,29,2.546,B1,38,0,5,20.86614173,95.14436,89.91114145,D
37,1323,2536,21.9,1.071,C1,50,0,4,14.56692913,71.850396,37.82200805,D
37,1330,2389,22.6,0.979,C1,89,0,4,14.56692913,74.146984,34.57305871,D
31,1330,3355,21.3,0.847,B1,87,12,3,12.20472441,69.881892,29.9115227,D
